Country Name,Country Code,Indicator Name,Indicator Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3154057987
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2042817163,2214681574,2430287967,2603554907,2751461056,3012820410,3324634256
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,2626380435,2936612022,3532969035,3875409836,4368398048,4422276622,4980000000,5145757576,5240606061,4787367928,3128953537,3216207914,3464656616,3697371950
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1885112202,2158496873,2505458705,2453899847,2578026297,2942546781,3801862611,4920343195,5015157816,4218723875,3674794530,3739577973,4085114794,4121733705
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,3291353806,3469363925,3294093364,3580417161,4438778547,4820499497,4886658806,4597702903,4422304975,4062660890,3816018485,4402973000,4665424249,4471598727
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,2379818383,2730968914,3025189399,3165661865,3432913353,3691384743,4063090016,4167801803,4127664336,4279840362,4482697337,4748174334,4787635821,5173759528
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4217500000,4674000000,4785000000,4465500000,4530000000,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2349495621,2659095101,3310277927,3365711796,3429461495,3872459250,3873308389,4321655656,4574986537,4180866177,4486979198,4819949975,5364369026,5490272413
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,3102741451,3405050612,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963252,4682546881,4930204220,5353404419,5581393121,5496250694
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,2721903149,3680711744,4545674528,4159330370,4142931813,4544575152,4087561650,4464502434,4587741791,4053097851,4373958354,4844606146,5504255214,5542577965
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,1575200391,1868383461,2271646188,2345294875,2588176055,2774351760,2886170572,3295011382,3697351594,4109447297,4379115588,4754352301,5299773145,5642179170
